Companies,URL,Description,Business Model,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Commercial Maturity,IPO Probability,M&A Probability,Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Cloutel,cloutel.com,"Cloutel is a technology company that focuses on artificial intelligence, machine learning, information security, and technology services in various sectors. The company provides solutions for AI and ML applications, information security, and technology services. Cloutel primarily serves the healthcare, telecom, manufacturing, and financial services industries. It was founded in 2013 and is based in Centennial, Colorado.","B2B, Fee-for-service, SaaS",IT Services,IT Solutions & Software Development,,,,,0.45%,5.58%,United States,,,,,,3,0%,Alive / Active,2013,,
ARIA Cybersecurity Solutions,ariacybersecurity.com,"ARIA Cybersecurity Solutions specializes in cybersecurity products and services within the technology sector. The company offers a suite of solutions for threat detection and response, data protection, and securing commercial IoT, leveraging network traffic analytics and AI-driven security operations center (SOC) capabilities. ARIA Cybersecurity Solutions primarily serves sectors that require robust digital security measures, such as healthcare, industrial networks, and cloud computing environments. It was founded in 1968 and is based in Lowell, Massachusetts.","B2B, B2G, SaaS, Usage-based",Security Software,,Conference Exhibitors,,589,3: Deploying,0.45%,10.11%,United States,,,,,,22,22.222221%,Alive / Active,1968,,
Eneintel,eneintel.com,"Eneintel is a technology output company that conducts security portraits of home-like scenarios. It is committed to the use of intelligent hardware and artificial intelligence algorithms, security early warning of abnormal behavior, and risk assessment of home-like scenarios. The company was founded in 2019 and is based in Shanghai, China.","B2B, SaaS",Internet Software & Services,Monitoring & Security,,,233,,0.56%,5.49%,China,,"Zizhu Venture Capital, Langcheng Capital",,Series A,2022-06-30,,0%,Alive / Active,2019,,
Vehere,vehere.com,"Vehere is a cybersecurity company specializing in network intelligence and security solutions. The company offers a range of products including AI-driven network security, network detection and response, network forensics, and counter-terrorism platforms designed to protect against cyber threats and ensure national and enterprise security. Vehere's solutions cater to defense and intelligence communities, global telecommunication companies, financial institutions, and smart city projects. It was founded in 2006 and is based in Washington, DC.","B2B, B2G, SaaS",IT Services,Data Storage & Security,Cybersecurity,,401,4: Scaling,1.18%,10.26%,United States,,Enam Holdings,,Corporate Minority,2018-04-16,177,14.193548%,Alive / Active,2006,,
Amaryllo,amaryllo.us,"Amaryllo is a Platform as a Service company specializing in biometric home security solutions. The company offers a range of products including indoor and outdoor cameras, thermal cameras, and AI-enhanced security systems, as well as services like 24/7 professional monitoring and cloud storage options. Amaryllo primarily serves the home security market with its advanced surveillance technology and monitoring services. It is based in Amsterdam, Netherlands.","B2B, B2C, Fee-for-service, Manufacturer, Retailer, SaaS",Machinery & Equipment,Robotics,Energy Storage,,,,1.05%,7.33%,Netherlands,,,,,,,0%,Alive / Active,,,
CerraCap Ventures,cerracap.com,"CerraCap Ventures invests in early-stage business-to-business companies. It invests in healthcare, enterprise AI, and cyber security sectors. Also provides mentoring support to the Management Team of the portfolio companies and brings in cross-company leverage opportunities. The company was founded in 2015 and is based in Costa Mesa, California.",,Investment Firms & Funds,,,,,,0.46%,3.15%,United States,,"Sun Mountain Capital, New Mexico State Investment Council",,Unattributed,2021-01-01,,0%,Alive / Active,2015,,
PlanckDOT,dotplanck.com,"PlanckDOT focuses on creating digital infrastructure within the technology sector. The company specializes in setting up carbon-neutral edge and hyper-scale data centers, as well as a network of electric vehicle charging stations, and offers solutions in cyber security and artificial intelligence. It primarily serves sectors that require robust digital infrastructure, such as data centers and electric vehicle networks. It was founded in 2022 and is based in New Delhi, India.",B2B,Internet Software & Services,Monitoring & Security,Cybersecurity,Edge data center infrastructure (Enterprise Tech),472,1: Emerging,0.44%,7.34%,India,1.95,,0.35,Bridge,2024-04-16,4,33.333332%,Alive / Active,2022,,
ESTsecurity,estsecurity.com,"ESTsecurity is a company specializing in IT security solutions, focusing on next-generation endpoint security and threat intelligence. The company offers a range of security solutions including antivirus programs, threat intelligence services, and integrated security systems that leverage artificial intelligence for effective threat response. ESTsecurity primarily serves individual users, government agencies, educational institutions, and corporate clients with robust security solutions for a safe and convenient working environment. It was founded in 2016 and is based in Seoul, South Korea.","B2B, B2C, B2G, SaaS",IT Services,Data Storage & Security,Cybersecurity,,389,,0.56%,11.85%,South Korea,11.77,"ESTsoft, HB Investment, IBK Securities, NH Hedge Asset Management, United Asset Management Company Co.",11.77,Unattributed VC,2022-05-11,2,-33.333332%,Alive / Active,2016,,
UpSight Security,upsightsecurity.com,"UpSight Security specializes in AI-driven cybersecurity solutions within the technology sector. The company offers a platform that predicts, interdicts, and evicts cyber threats such as ransomware, utilizing natural language processing to understand and counteract attack patterns. UpSight Security primarily serves sectors that require robust endpoint security and threat management. It was founded in 2021 and is based in Beaverton, Oregon.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,Endpoint detection & response (EDR) (Enterprise Tech),463,,0.49%,8.58%,United States,2.10,,2.10,Convertible Note,2023-06-13,13,62.5%,Alive / Active,2021,,
Blue Lock AI,bluelockai.com,"Blue Lock AI specializes in cybersecurity solutions within the technology domain. The company offers artificial intelligence-enriched security products designed to protect websites and cloud ecosystems from cyber threats. Its services cater to the needs of businesses seeking advanced cybersecurity measures. The comany was founded in 2022 and is based in Santiago, Chile.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,307,3: Deploying,0.42%,2.78%,Chile,0.12,"Cyber Xcelerator, Start-Up Chile",0.01,Incubator/Accelerator,2023-01-01,8,33.333332%,Alive / Active,2022,,
TrustLogix,trustlogix.io,"TrustLogix is a company that specializes in cloud data security and privacy across various clouds and platforms. Their main offerings include a cloud data security platform that provides data access management, compliance automation, and AI-driven security recommendations, without requiring direct visibility to the data itself. The platform is designed to deploy fine-grained attribute-based and role-based access control policies and manage data security posture across all clouds and data platforms. It was founded in 2019 and is based in Mountain View, California.","B2B, SaaS",Internet Software & Services,Application & Data Integration,Defense Tech,"Database security (Enterprise Tech), Data security posture management (DSPM) (Enterprise Tech)",529,3: Deploying,1.02%,22.64%,United States,,Norwest Venture Partners,,,,20,5.263158%,Alive / Active,2019,,
ETHYKA,ethyka.co,"ETHYKA is a company focused on ethical artificial intelligence and security across various digital platforms. It offers solutions for protecting AI systems, social media, contact centers, and intranets from inappropriate content and biases while ensuring compliance with laws and regulations. ETHYKA primarily serves businesses and institutions looking to implement or enhance AI systems ethically and securely within their technological solutions and digitalization processes. It was founded in 2017 and is based in Miami, Florida.","B2B, SaaS",Internet Software & Services,Monitoring & Security,Cybersecurity,,203,,0.62%,2.83%,United States,,La Nave Madrid,,Incubator/Accelerator,2019-12-18,,0%,Alive / Active,2017,,
418Sec,418sec.com,"418Sec operates as a bug bounty platform with a focus on identifying and resolving security vulnerabilities in artificial intelligence and machine learning applications. The company provides a centralized platform for security researchers to report potential security threats in AI/ML applications, particularly those involving open-source software. 418Sec serves the cybersecurity industry by facilitating the discovery and patching of vulnerabilities in AI/ML software. It is based in London, England.","B2B, Commission, Marketplace",Internet Software & Services,Monitoring & Security,Cybersecurity,,180,,0.50%,11.00%,United Kingdom,,Cyber London Accelerator,,Seed,2019-09-14,1,-75%,Alive / Active,,,
